GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GovPro,default,BudgetDataManager.BudgetType,15,0,0,0,1,0,1,0,1,0
GovPro,default,ObjectsEntities,1439,0,0,0,64,0,2,0,2,0
GovPro,default,Budget2022,278,0,8,0,17,0,7,0,3,0
GovPro,default,Budget2023,278,0,8,0,17,0,7,0,3,0
GovPro,default,Budget2024,278,0,8,0,17,0,7,0,3,0
GovPro,default,GovProFx.new TableRow() {...},14,46,5,7,5,12,4,4,0,2
GovPro,default,GovProFx.new TableCell() {...},0,33,0,4,0,9,0,4,0,2
GovPro,default,GovProFx.new ListCell() {...},60,0,10,0,11,0,7,0,2,0
GovPro,default,BudgetDataManager,87,0,4,0,17,0,6,0,4,0
GovPro,default,ObjectsIncomes,1981,0,0,0,76,0,2,0,2,0
GovPro,default,GovProFx.BudgetEntry,4,21,0,0,2,8,1,4,1,4
GovPro,default,Prediction,930,90,22,2,104,15,16,3,5,2
GovPro,default,GovProFx,2370,2807,79,5,415,118,82,15,42,13
GovPro,default,ObjectsExpenses,687,0,0,0,32,0,2,0,2,0
GovPro,default,PredictionGui,688,0,2,0,68,0,8,0,7,0
GovPro,default,GovProGui,2981,0,31,0,198,0,32,0,15,0
GovPro,incomes,TrEUInvestGrants,0,11,0,0,0,3,0,2,0,2
GovPro,incomes,DeptSecurLiabil,0,7,0,0,0,2,0,1,0,1
GovPro,incomes,SocialContributions,0,11,0,0,0,3,0,2,0,2
GovPro,incomes,Income,0,38,0,0,0,13,0,7,0,7
GovPro,incomes,Sales,0,7,0,0,0,2,0,1,0,1
GovPro,incomes,TrDomesInvestGrants,0,11,0,0,0,3,0,2,0,2
GovPro,incomes,TrEU,0,11,0,0,0,3,0,2,0,2
GovPro,incomes,SalOther,0,11,0,0,0,3,0,2,0,2
GovPro,incomes,TrCurrentDomestic,0,11,0,0,0,3,0,2,0,2
