Κωδικός,Ονομασία,Ποσό
11,Φόροι,62.055.000.000
111,Φόροι επί αγαθών και υπηρεσιών,33.667.000.000
112,Φόροι και δασμοί επί εισαγωγών,362.000.000
113,Τακτικοί φόροι ακίνητης περιουσίας,2.353.000.000
114,Λοιποί φόροι επί παραγωγής,355.000.000
115,Φόρος εισοδήματος,23.719.000.000
116,Φόροι κεφαλαίου,232.000.000
12,Κοινωνικές εισφορές,60.000.000
122,Λοιπές κοινωνικές εισφορές,60.000.000
13,Μεταβιβάσεις,8.131.000.000
131,Τρέχουσες εγχώριες μεταβιβάσεις,322.000.000
132,Τρέχουσες μεταβιβάσεις από οργανισμούς και κράτη-μέλη της,15.000.000
133,Τρέχουσες μεταβιβάσεις από φορείς του εξωτερικού,8.000.000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,35.000.000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,7.645.000.000
139,Λοιπές κεφαλαιακές μεταβιβάσεις,106.000.000
14,Πωλήσεις αγαθών και υπηρεσιών,2.405.000.000
141,Πωλήσεις αγαθών,2.000.000
142,Παροχή υπηρεσιών,338.000.000
143,Μισθώματα,1.418.000.000
144,Προμήθειες,445.000.000
145,Διοικητικές αμοιβές,199.000.000
149,Λοιπές πωλήσεις,3.000.000
15,Λοιπά τρέχοντα έσοδα,2.775.000.000
151,Τόκοι,588.000.000
152,Διανεμόμενο εισόδημα εταιριών,356.000.000
153,Ενοίκια φυσικών πόρων,75.000.000
156,"Πρόστιμα, ποινές και καταλογισμοί",1.102.000.000
159,Επιστροφές δαπανών,654.000.000
31,Πάγια περιουσιακά στοιχεία,37.000.000
311,Κτίρια και συναφείς υποδομές,37.000.000
43,Χρεωστικοί τίτλοι,11.000.000
432,Μακροπρόθεσμοι χρεωστικοί τίτλοι,11.000.000
44,Δάνεια,20.000.000
442,Μακροπρόθεσμα Δάνεια,20.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,467.000.000
451,Εισηγμένες μετοχές,239.000.000
452,Μη εισηγμένες μετοχές,228.000.000
52,Υποχρεώσεις από νόμισμα και καταθέσεις,66.000.000
521,Υποχρεώσεις από νόμισμα σε κυκλοφορία,66.000.000
53,Χρεωστικοί τίτλοι (Υποχρεώσεις),25.973.000.000
531,Βραχυπρόθεσμοι χρεωστικοί τίτλοι,17.000.000.000
532,Μακροπρόθεσμοι χρεωστικοί τίτλοι,8.973.000.000
54,Δάνεια,1.202.027.000.000
541,Βραχυπρόθεσμα δάνεια,1.200.000.000.000
542,Μακροπρόθεσμα δάνεια,2.027.000.000
57,Χρηματοοικονομικά παράγωγα,800.000.000
571,Χρηματοοικονομικά παράγωγα,800.000.000
21,Παροχές σε εργαζομένους,14.889.199.000
22,Κοινωνικές παροχές,425.136.000
23,Μεταβιβάσεις,34.741.365.000
24,Αγορές αγαθών και υπηρεσιών,2.039.542.000
25,Επιδοτήσεις,80.630.000
26,Τόκοι,7.701.101.000
27,Λοιπές δαπάνες,101.553.000
29,Πιστώσεις υπό κατανομή,17.283.053.000
31,Πάγια περιουσιακά στοιχεία,2.609.600.000
33,Τιμαλφή,85.000
44,Δάνεια,3.741.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1.755.112.000
53,Χρεωστικοί τίτλοι (υποχρεώσεις),19.375.000.000
54,Δάνεια,1.203.165.130.000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,4.638.000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,171.950.000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,41.689.000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,3.830.276.000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,420.237.000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,6.130.000.000
1015,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ,7.177.424.000
1017,ΥΠΟΥΡΓΕΙΟ ΔΙΚΑΙΟΣΥΝΗΣ,650.803.000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ",6.606.000.000
1022,ΥΠΟΥΡΓΕΙΟ ΠΟΛΙΤΙΣΜΟΥ,575.419.000
1024,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ,1.246.518.464.000
1029,ΥΠΟΥΡΓΕΙΟ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ,1.281.403.000
1031,ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,2.341.227.000
1032,ΥΠΟΥΡΓΕΙΟ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ,18.678.084.000
1034,ΥΠΟΥΡΓΕΙΟ ΚΟΙΝΩΝΙΚΗΣ ΣΥΝΟΧΗΣ ΚΑΙ,3.989.553.000
