Κωδικός,Ονομασία,Ποσό
11,Φόροι,62.055.000.000
12,Κοινωνικές εισφορές,60.000.000
13,Μεταβιβάσεις,8.131.000.000
14,Πωλήσεις αγαθών και υπηρεσιών,2.405.000.000
15,Λοιπά τρέχοντα έσοδα,2.775.000.000
31,Πάγια περιουσιακά στοιχεία,37.000.000
43,Χρεωστικοί τίτλοι,11.000.000
44,Δάνεια,20.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών,467.000.000
52,Υποχρεώσεις από νόμισμα και καταθέσεις,66.000.000
53,Χρεωστικοί τίτλοι (Υποχρεώσεις),25.973.000.000
54,Δάνεια,1.202.027.000.000
57,Χρηματοοικονομικά παράγωγα,800.000.000
11,Φόροι,62.055.000.000
111,Φόροι επί αγαθών και υπηρεσιών,33.667.000.000
11101,Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ,14.635.000.000
1110103,ΦΠΑ από ηλεκτρονικό εμπόριο,250.000.000
1110103001,ΦΠΑ μη ενωσιακού καθεστώτος από ηλεκτρονικό εμπόριο για την,39.000.000
1110103002,ΦΠΑ ενωσιακού καθεστώτος από ηλεκτρονικό εμπόριο για την,211.000.000
1110189,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.,14.385.000.000
1110189001,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.,14.385.000.000
11102,Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία,7.853.000.000
1110201,ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών,2.262.000.000
1110201001,ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - προϊόντα,2.230.000.000
1110201002,ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - εισαγόμενα,32.000.000
1110202,ΦΠΑ στα οχήματα,583.000.000
1110202001,ΦΠΑ στα οχήματα,583.000.000
1110203,ΦΠΑ στην αιθυλική αλκοόλη,342.000.000
1110203001,ΦΠΑ στην αιθυλική αλκοόλη,342.000.000
1110204,ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο,12.000.000
1110204001,ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο,12.000.000
1110205,ΦΠΑ καπνικών προϊόντων,630.000.000
1110205001,ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.,607.000.000
1110205002,ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες,23.000.000
1110206,ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο,85.000.000
1110206001,ΦΠΑ εισαγωγής από το ειδικό καθεστώς εισαγωγής – IOSS,81.000.000
1110206002,ΦΠΑ εισαγωγής από τις ειδικές ρυθμίσεις – special arrangements,4.000.000
1110289,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων,3.939.000.000
1110289001,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων -,398.000.000
1110289002,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων -,3.541.000.000
11103,Ειδικοί φόροι κατανάλωσης,7.172.000.000
1110301,ΕΦΚ υγραερίων,95.000.000
1110301001,ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.,92.000.000
1110301002,ΕΦΚ υγραερίων  - εισαγόμενα προϊόντα,3.000.000
1110302,ΕΦΚ βενζινών,2.066.000.000
1110302001,ΕΦΚ βενζινών  - προϊόντα εγχώρια και από Ε.Ε.,2.066.000.000
1110303,ΕΦΚ diesel κίνησης,1.449.000.000
1110303001,ΕΦΚ diesel κίνησης  - προϊόντα εγχώρια και από Ε.Ε.,1.244.000.000
1110303002,ΕΦΚ diesel κίνησης   - εισαγόμενα προϊόντα,205.000.000
1110304,ΕΦΚ diesel θέρμανσης,253.000.000
1110304001,ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.,193.000.000
1110304002,ΕΦΚ diesel θέρμανσης  - εισαγόμενα προϊόντα,60.000.000
1110305,ΕΦΚ στην ηλεκτρική ενέργεια,164.000.000
1110305001,ΕΦΚ στην ηλεκτρική ενέργεια,164.000.000
1110306,ΕΦΚ στο φυσικό αέριο,34.000.000
1110306001,ΕΦΚ στο φυσικό αέριο,34.000.000
1110309,ΕΦΚ λοιπών ενεργειακών προϊόντων,38.000.000
1110309001,ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.,35.000.000
1110309002,ΕΦΚ λοιπών ενεργειακών προϊόντων  - εισαγόμενα από τρίτες,3.000.000
1110310,ΕΦΚ στα προϊόντα καπνού,2.334.000.000
1110310001,ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.,2.308.000.000
1110310002,ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες,26.000.000
1110311,ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων,353.000.000
1110311001,ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - προϊόντα,351.000.000
1110311002,ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - εισαγόμενα,2.000.000
1110312,ΕΦΚ στη μπύρα,207.000.000
1110312001,ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.,207.000.000
1110313,ΕΦΚ στο κρασί,1.000.000
1110313001,ΕΦΚ στο κρασί - προϊόντα εγχώρια και από Ε.Ε.,1.000.000
1110314,Φόρος κατανάλωσης στον καφέ,147.000.000
1110314001,Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.,95.000.000
1110314002,Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα,52.000.000
1110315,Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο,10.000.000
1110315001,Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο - προϊόντα εγχώρια,7.000.000
1110315002,Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο  - εισαγόμενα,3.000.000
1110317,Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε,11.000.000
1110317001,Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία,11.000.000
1110318,Ειδικός φόρος πολυτελείας εμπορευμάτων,10.000.000
1110318001,Ειδικός φόρος πολυτελείας εμπορευμάτων  - χωρών της Ε.Ε. και,6.000.000
1110318002,Ειδικός φόρος πολυτελείας εμπορευμάτων  -εισαγομένων από,4.000.000
11104,Φόροι με μορφή χαρτοσήμου,335.000.000
1110404,Ψηφιακό τέλος συναλλαγής,335.000.000
1110404001,Ψηφιακό τέλος συναλλαγής,335.000.000
11105,Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών,670.000.000
1110501,Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων,110.000.000
1110501001,Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων,110.000.000
1110502,Φόρος στη μεταβίβαση οικοδομών,488.000.000
1110502001,Φόρος στη μεταβίβαση οικοδομών,488.000.000
1110503,Φόρος στη συγκέντρωση κεφαλαίων,19.000.000
1110503001,Φόρος στη συγκέντρωση κεφαλαίων,19.000.000
1110507,Φόρος επί των χρηματιστηριακών συναλλαγών,38.000.000
1110507001,Φόρος επί των χρηματιστηριακών συναλλαγών,38.000.000
1110589,Λοιποί Φόροι  επί χρηματοοικονομικών και κεφαλαιακών,15.000.000
1110589001,Λοιποί Φόροι  επί χρηματοοικονομικών και κεφαλαιακών,15.000.000
11106,Φόροι ταξινόμησης οχημάτων,466.000.000
1110601,Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα,389.000.000
1110601001,Τέλος ταξινόμησης στα  επιβατικά αυτοκίνητα - εγχώρια και από,312.000.000
1110601002,Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εισαγόμενα από,77.000.000
1110602,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα,46.000.000
1110602001,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.,31.000.000
1110602002,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εισαγόμενα από,15.000.000
1110609,Τέλος ταξινόμησης λοιπών οχημάτων,18.000.000
